id,title,contents,platform,author,published_at,url,region,hit_words,polarity,classification
202401011,未知,content: “环保协同控烟”系列宣传片：“公益诉讼篇”正式发布！#环保协同控烟##控烟##绿皮车应该全列禁烟吗# 为爱捐赠，请点击： 吸烟有害身体健康已成共识，但烟草对生态环境的影响人们尚不了解。中国生物多样性保护与绿色发展基金会（简称中国绿发会）作为公益组织，通过#生态环境保护协同控烟#项目，关注烟草全产业链的环境影响，并对损害社会公共利益的行为提起环境公益诉讼。以下三个典型案件分享，一起共同了解环保协同控烟的创新实践与成效吧。“绿皮车”控烟案我们知道，高铁、公交车等室内公共场所都不允许吸烟，但普速列车，也就是我们常说的绿皮车，在车厢连接处，却往往设有吸烟区。2020年，中国绿发...,新浪视频,中国绿发会,2024-01-31 10:49:00,https://k.sina.cn/article_5327744144_m13d8eec9003301eq4c.html,未知,控烟,中性,未知
202401019,未知,content: 控烟行动一起来 健康环境更多彩,今日头条,健康北京,2024-01-29 12:00:00,https://www.toutiao.com/video/7328237635800203810/,未知,控烟,中性,未知
2024010141,拒绝“二手烟”，东城持续开展室内公共场所控烟执法检查工作,title: 拒绝“二手烟”，东城持续开展室内公共场所控烟执法检查工作 content: 近日，为进一步推动室内公共场所控烟工作，防止“二手烟”伤害，东城区各街道综合行政执法部门结合自身职责，根据市民群众关心关注点位和时段，持续加大对商务楼宇、商场超市、餐饮单位、宾馆酒店等室内公共场所控烟执法检查力度，确保公共场所无烟环境得到有效维护，守护市民群众的身体健康和财产安全。,北京网络广播电视台,未知,2024-01-24 11:01:32,http://item.btime.com/401cqdlbrc4816b0bgpsrq74mhm,未知,控烟,中性,未知
2024010156,未知,content: #不吸烟最时尚# 【无烟成都 将成为这座城市新的标签】控烟人人有责，让成都、更文明，让生活更美好[送花花][送花花],新浪视频,健康成都官微,2024-01-22 09:37:00,https://k.sina.cn/article_3309826382_mc547f14e03301qrr5.html,未知,控烟,中性,未知
2024010181,未知,content: 你支持全面控烟吗？,今日头条,正点小店,2024-01-17 08:30:00,https://www.toutiao.com/video/7324753977852199458/,未知,控烟,中性,未知
2024010189,未知,content: #不吸烟最时尚# 【营造无烟环境 建设健康成都 控烟人人有责[拳头][拳头]】,新浪视频,健康成都官微,2024-01-15 16:13:00,https://k.sina.cn/article_3309826382_mc547f14e03301qop0.html?from=news&subch=onews,未知,控烟,中性,未知
